host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,has_gym,has_pool,has_free_parking,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Entire home/apt,Hotel room,Private room,Shared room,host_response_time_ordinal,antiguedad
0.33502896137669647,-0.2314125700143893,False,True,-0.6826106818972819,1.7329644059756295,-0.18185099803298319,0.16358199067149112,52511.0,3.6920212247440416,1.0351047737111891,1.0555031642518586,-0.693706877597051,0.11971204511647604,0.09870851665653375,0.033710640772992295,0.2598615276369365,0.28160668771269665,4.94,0.23164741652014045,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.9685233686897003
0.33502896137669647,0.13471614713760752,False,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,29406.0,-0.20274034193709647,0.48327718515348456,-1.657409897534602,0.9291046363101066,-0.4207437995331903,-0.39353072306922743,-0.8936928702870008,0.09272486333642231,0.3584486601571268,4.93,-0.4318367111256072,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8440046478102556
0.33502896137669647,0.5008448642896044,True,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,73515.0,-0.11521761010156528,-0.34824383870059067,-0.3466766204917054,0.364648457559791,0.5479978088011159,0.5573859900373554,0.6660312164957171,0.3498581930295232,0.4865186142311788,4.94,0.2690268039931405,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8927926846460614
0.33502896137669647,0.5822068014344927,True,True,0.11955531817808365,0.6615636118527859,1.1316833352184472,0.16358199067149112,99771.0,-0.1589789760193309,1.0804604659214114,-0.74294482052793,-0.1292506988467353,-0.2677845982172501,-0.0019767823782847575,0.033710640772992295,-0.035841801510130986,-0.025761202065040754,4.92,-0.19821553941935796,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.0093014293285827
0.33502896137669647,0.1021713722796522,False,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,0.16358199067149112,42218.8,0.0598278535694971,-0.06855040340421992,-1.657409897534602,-0.693706877597051,-0.9306078039196714,-1.2885111589342477,-1.6524775611542712,0.028441530913148518,0.3584486601571268,4.92,-0.38511247678435817,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.8374510309218635
0.058446104668135046,0.33812098999982776,True,True,-0.6826106818972819,-0.4098371822700576,1.1316833352184472,0.16358199067149112,31507.0,-0.1589789760193309,1.0804604659214114,-0.3771587897252611,-0.693706877597051,-3.5309142262907094,-3.022535753422726,-1.694632266202452,-1.707208444515284,-1.3064607428055839,4.81,-1.08597599190311,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.154209180527469
0.058446104668135046,0.33812098999982776,True,True,0.9217213182534492,-0.4098371822700576,-0.18185099803298319,-0.7239904573328133,36758.0,-0.1589789760193309,1.0804604659214114,-0.041854928156148,-0.552592832909472,-1.4914582087447945,-1.0088297727264302,-1.3573946258169993,-1.000091787859255,-0.9862858576204482,4.85,-0.5720094141493584,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.154209180527469
0.33502896137669647,0.5822068014344927,True,True,-0.6826106818972819,-0.4098371822700576,-0.18185099803298319,0.16358199067149112,24155.0,-0.02769487826603409,-0.48431091533125753,-0.8039091589950415,0.6468765469349488,0.6499706096784139,0.2777046038295378,0.4974123963029907,0.6712748551458979,0.6786235453422625,5.0,0.9698903191118924,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1.9554161349129162
0.33502896137669647,-0.7765375488851404,False,False,-0.6826106818972819,2.804365200098473,-0.18185099803298319,1.0511544386757956,121405.2,-0.07145624418379969,0.48327718515348456,-1.657409897534602,-0.693706877597051,-0.20660091769087036,-0.20334738044791184,-0.5733171119208226,0.16986486224435543,0.28160668771269665,4.902,-0.22625008002410904,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1.9539597756043847
0.058446104668135046,0.33812098999982776,True,True,0.9217213182534492,-0.4098371822700576,1.1316833352184472,1.0511544386757956,63013.0,-0.1589789760193309,1.0804604659214114,-0.16378360509037096,-0.693706877597051,-2.7661182197109904,-2.071619040316138,-2.2847981368769923,-2.2214751039014855,-1.6266356279907255,4.3,-2.5811514908231077,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,2.154209180527469
